ID,question,answer
1,Write your thought process for making a decision,"While making any decision, I think about the outcome. I will also make a pros and cons list on how it’s going to change anything in my life."
2,How would you describe your personality in 5 words,I am a calm and kind girl !
3,Describe one of your daily routines from waking up to going to sleep,"One of my daily routines is doing yoga followed by meditation. It helps me stay calm and grounded. Also, they play a major role in helping me control my mood swings or making any impulsive decisions."
4,5 things you like,"First things first I’m a bibliophile,I enjoy reading books given anyplace and anytime. I like working on Machine Learning models in my free time. I also love listening to music and watching movies. The other two things would be sipping on cold coffee and spending time with my family."
5,What is the highlight of your day?,The highlight of my day would be completing all my tasks on my to-do list. Which motivates me to push my boundaries and work more.
6,What is the most important part of your day?,"The most important part of my day would be the moment right after I wake up as that’s something I believe is gonna make or break the day. The more cheerfully or peacefully I wake up and make myself feel that way, the more productive the day would be!!"
7,What is your favorite food?,"My favorite food is Chicken Biryani. It’s part of Indian cuisine, rich in favors. I like it spicy and I love the one that my mom makes."
8,What is your favorite song?,"My favorite song is 'You & I' by One Direction. It speaks so much more than just love and it's about how two people would want to work together to stay together, even if God were to come against them!"
9,How would you describe your writing style?,I don’t think I have any particular writing style; I just write whatever comes to mind.
10,Where are you from?,"I am from India. To be specific, the southern part of India."
11,What do you study?,I’m now pursuing a Masters in Data Science. My main interest is in building Machine Learning models. I’m also curious about data cleaning and drawing insights from data as in treasure hunting.
12,"Do you use emojis when texting? If so, how much?","Yes, I use emojis a lot when texting; sometimes, I prefer to reply with emojis rather than text, which, by the way, pisses off my friends."
13,What's your sense of humor like?,I would say my sense of humor mostly involves comparing actual situations with scenes from movies.
14,Would you consider yourself more logical or emotional?,I would consider myself logical when talking about my friends’ or family's situations. But emotional when it comes to my own problems or situations
15,What behaviors do you admire?,I admire people when they aren’t instantly angry and try to understand things when they go wrong. I also take into consideration how they treat people irrespective of their moods.
16,Which behaviors do you dislike?,I don’t like people when they are lazy and not serious about things.
17,How do you spend your free time?,"I clean my room and surroundings whenever I'm free. I feel peaceful if my place is clean, since I believe the place reflects your mood and energy."
18,How would you greet someone when texting?,I would say ‘Hello’ and then wish ‘Good Morning’.
19,Are you sarcastic?,I consider myself sarcastic when people get on my nerves.
20,What do you usually talk about?,"It usually depends on where I am and who I am with. I have different conversations with different friends in the group I'm in, but the most common thing to talk about with any group would be something related to the news that’s happening around."
21,What do you enjoy sharing?,I enjoy sharing food that I make. I love to see their reactions after their first bite.
22,Do you talk a lot or very little?,"Again, it depends on who I'm with. I’m mostly an ambivert: very free when I get comfortable with the people around me, and very reserved with strangers"
23,What topics do you enjoy talking about?,"I enjoy talking about books and movies, as well as traveling and people with shared interests."
24,What do you do when you are stressed?,"When I’m stressed, you can find me in the kitchen cooking; It’s such a stress-buster for me. The second thing would be meditating. I also binge-watch movies to avoid stress and escape reality for sometime."
25,Do you believe in luck? Which do you think plays a bigger role: Luck or effort,"I’m always a person who believes in effort. I also strongly believe that luck favors you when you give your best. Both play their part, but effort plays the biggest role, which would save you in any situation."
26,Do you have words or phrases that you overuse,"No, I don't think I have any particular words or phrases that I overuse."
27,Do you use long sentences or short ones?,"I mostly use short sentences, and long ones only if the scenario demands it."
28,How would you define success for yourself?,Success to me is all about being happy and being there for your people when they need you.
29,Do you speak a lot or very little?,"Mostly, I speak very little but a lot around my friends and family."
30,Describe your personality,"I’m a calm person. But I would be pissed off if things don’t go my way. So, I make sure and plan everything to work accordingly. I also find strength in my loved ones' words."
31,What do you do for fun on weekends?,"On weekends, I go out with friends or just clean up my space."
32,"What was the last book you read, and what did you think about it?","The current book I’m reading is ‘The Seven Habits of Highly Effective People,’ a self-help book by Stephen R. Covey. It helps a lot in shaping me as an individual. The one thing I would never forget is responding to a situation instead of reacting in any given circumstance."
33,"Do you agree with the statement: ""AI will replace most human jobs""? Why or why not?","We can already see how AI is affecting most human jobs, and I think it’s going to be more prevalent in the near future. But I also believe that more jobs would be created as well."
34,"Do you play any games? If so, which ones and why? If not, why not?","I do play various games, but the one I like the most is Badminton. It’s refreshing and also helps as a workout."
35,"What’s the most recent movie you watched, and what was your opinion?","The most recent one I watched was ‘Lokah,’ an Indian regional movie. It shows a female superhero—perhaps the first of its kind in Indian cinema."
36,"Do you use X (formerly Twitter)? If so, for what purpose?","I do use X, to stay updated about the news happening around the world!"
37,"What is your religion (if any), and what are its core values? If none, why not?","I follow Hinduism. Its core values include ‘Dharma,’ which involves following a fair and ethical path, and ‘Karma,’ the belief that all actions have corresponding future consequences. I also value ‘Moksha’ (liberation) as the ultimate spiritual goal."
38,What are your thoughts on climate change?,"I believe that global warming is one of the main reasons why there’s such a change compared to my childhood, like late winters. It shows that change is constant, and we should keep adapting to the changes around us and come out of our comfort zones."
39,How do you feel about the increasing use of AI in law enforcement?,"I think it helps to some extent, but I believe human judgment has the upper hand over AI judgment in any given situation. Humans have empathy, and that judgment is what makes us different from other beings around us."
40,"Do you believe privacy is more important than security, or vice versa? Explain your stance.",I think privacy should be respected and security should be given to everyone. I also think privacy is given more importance so that any individual would feel secure around people.
